epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,125.87,0.88188,0.50609,1.04556,0.97486,1,0.995,0.79486,0.81581,0.42957,0.94266,0.00136031,0.00136031,0.00136031
44,128.677,0.84007,0.48135,1.01728,0.99702,1,0.995,0.8368,0.73806,0.37963,0.91488,0.00134508,0.00134508,0.00134508
45,131.5,0.8338,0.49232,1.0158,0.99754,1,0.995,0.83014,0.75482,0.38702,0.92481,0.00132985,0.00132985,0.00132985
46,134.312,0.82718,0.48843,1.01064,0.99875,0.95,0.98954,0.79945,0.79183,0.4238,0.9509,0.00131462,0.00131462,0.00131462
47,137.125,0.80606,0.48898,1.00279,0.91423,0.975,0.98845,0.80888,0.74115,0.46495,0.91522,0.00129938,0.00129938,0.00129938
48,139.934,0.83343,0.48238,1.01789,0.97092,1,0.99451,0.83728,0.65066,0.36969,0.88982,0.00128415,0.00128415,0.00128415
49,142.722,0.84057,0.48411,1.01816,0.99755,1,0.995,0.79891,0.75726,0.38098,0.91238,0.00126892,0.00126892,0.00126892
50,145.518,0.83007,0.47123,1.01958,0.99662,0.975,0.99451,0.80492,0.71156,0.38991,0.91299,0.00125369,0.00125369,0.00125369
51,148.326,0.81744,0.4708,1.01584,0.99518,1,0.995,0.80892,0.72915,0.38772,0.92271,0.00123846,0.00123846,0.00123846
52,151.134,0.81536,0.45759,1.00355,0.94161,0.925,0.95988,0.81052,0.68964,0.41094,0.92902,0.00122323,0.00122323,0.00122323
53,153.929,0.77354,0.45202,0.98445,0.95025,0.9551,0.98836,0.78438,0.78898,0.45779,0.95751,0.001208,0.001208,0.001208
54,156.735,0.81935,0.47291,1.01058,0.99822,1,0.995,0.8042,0.77419,0.37255,0.94785,0.00119277,0.00119277,0.00119277
55,159.539,0.79939,0.45339,1.00391,0.97389,1,0.98524,0.80101,0.7577,0.36566,0.93501,0.00117754,0.00117754,0.00117754
56,162.334,0.81442,0.46027,1.01535,0.99786,1,0.995,0.81884,0.71091,0.38164,0.90696,0.00116231,0.00116231,0.00116231
57,165.122,0.79257,0.45112,0.99704,0.97372,1,0.99451,0.79891,0.83195,0.3947,0.95916,0.00114708,0.00114708,0.00114708
58,167.918,0.76282,0.44126,0.98353,0.96271,0.975,0.98975,0.81041,0.72149,0.40904,0.9271,0.00113185,0.00113185,0.00113185
59,170.73,0.78262,0.46571,0.98777,0.99791,1,0.995,0.82838,0.68861,0.35263,0.90414,0.00111662,0.00111662,0.00111662
60,173.56,0.76244,0.44033,0.98532,0.97496,1,0.99329,0.84006,0.71786,0.37938,0.90418,0.00110138,0.00110138,0.00110138
