epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1142.66,0.80797,0.46229,1.11494,0.79772,0.68182,0.75326,0.51531,1.08532,1.23058,1.46179,0.0011882,0.0011882,0.0011882
43,1179.39,0.82734,0.47066,1.13722,0.97698,0.96458,0.98004,0.69483,0.89715,0.45533,1.28549,0.0011684,0.0011684,0.0011684
44,1211.98,0.84756,0.49877,1.13036,0.97138,0.96591,0.98386,0.68632,0.87201,0.45358,1.27595,0.0011486,0.0011486,0.0011486
45,1243.15,0.83519,0.47769,1.1398,0.94615,0.99825,0.98485,0.70537,0.90778,0.45158,1.27451,0.0011288,0.0011288,0.0011288
46,1275.61,0.77495,0.46554,1.09722,0.93301,0.94967,0.96272,0.6736,0.92599,0.50573,1.29106,0.001109,0.001109,0.001109
47,1306.11,0.79818,0.4764,1.11514,0.97748,0.98638,0.98438,0.69802,0.9123,0.4415,1.31188,0.0010892,0.0010892,0.0010892
48,1334.89,0.81178,0.46618,1.12064,0.97752,0.98821,0.98507,0.69348,0.92904,0.43476,1.29717,0.0010694,0.0010694,0.0010694
49,1366.86,0.78237,0.44881,1.09804,0.9775,0.98739,0.98364,0.68195,0.913,0.43839,1.29834,0.0010496,0.0010496,0.0010496
50,1405.49,0.74873,0.44486,1.08936,0.96624,0.97567,0.98447,0.69846,0.91416,0.49085,1.28213,0.0010298,0.0010298,0.0010298
51,1458.39,0.81562,0.45846,1.14604,0.97586,0.96591,0.9805,0.68154,0.90566,0.46755,1.27926,0.00101,0.00101,0.00101
52,1493.78,0.81429,0.47026,1.12766,0.97697,0.9642,0.97845,0.68803,0.92399,0.44972,1.2895,0.0009902,0.0009902,0.0009902
53,1526.61,0.73331,0.43547,1.07823,0.98725,0.96591,0.98003,0.71423,0.89947,0.44805,1.28347,0.0009704,0.0009704,0.0009704
54,1558.82,0.81931,0.47782,1.1152,0.9863,0.96591,0.98226,0.69936,0.92221,0.4477,1.28697,0.0009506,0.0009506,0.0009506
55,1587.15,0.73648,0.44639,1.08941,0.82773,0.75,0.8107,0.52155,1.21043,0.93632,1.65024,0.0009308,0.0009308,0.0009308
56,1620.46,0.77831,0.43547,1.1101,0.97119,0.97727,0.98516,0.69361,0.86882,0.40112,1.25852,0.000911,0.000911,0.000911
57,1650.86,0.74816,0.44309,1.09752,0.95379,0.95455,0.98027,0.69027,0.92453,0.42231,1.29169,0.0008912,0.0008912,0.0008912
58,1688.84,0.82959,0.46504,1.13805,0.98524,0.96591,0.97913,0.68313,0.89275,0.41208,1.28495,0.0008714,0.0008714,0.0008714
59,1724.81,0.7393,0.42392,1.08096,0.9885,0.97686,0.98361,0.70191,0.87108,0.3986,1.2491,0.0008516,0.0008516,0.0008516
60,1754.72,0.85459,0.47382,1.14596,0.98592,0.96591,0.98435,0.71152,0.88311,0.39846,1.24805,0.0008318,0.0008318,0.0008318
61,1787.19,0.7866,0.43874,1.12467,0.97444,0.96591,0.96722,0.6889,0.89521,0.45031,1.28472,0.000812,0.000812,0.000812
62,1818.99,0.75383,0.4333,1.06814,0.97747,0.98625,0.97947,0.6953,0.91358,0.45408,1.28642,0.0007922,0.0007922,0.0007922
63,1850.07,0.76882,0.42108,1.13353,0.98658,0.96591,0.98637,0.70045,0.88607,0.43225,1.28538,0.0007724,0.0007724,0.0007724
64,1881.85,0.74385,0.41555,1.07379,0.97658,0.97727,0.98439,0.70603,0.87085,0.4065,1.28637,0.0007526,0.0007526,0.0007526
65,1911.67,0.73348,0.40054,1.08582,0.96586,0.96441,0.97337,0.70251,0.86375,0.42631,1.26073,0.0007328,0.0007328,0.0007328
66,1945.42,0.78939,0.43408,1.11828,0.96659,0.98636,0.97445,0.69879,0.88698,0.41983,1.27204,0.000713,0.000713,0.000713
67,1974.06,0.74889,0.42862,1.08759,0.97596,0.96591,0.9742,0.69592,0.88291,0.42031,1.27096,0.0006932,0.0006932,0.0006932
68,2004,0.70926,0.41797,1.09116,0.97577,0.98864,0.98428,0.71353,0.85985,0.39913,1.24733,0.0006734,0.0006734,0.0006734
69,2039.41,0.77269,0.42633,1.1166,0.96665,0.98805,0.98368,0.71212,0.86844,0.4007,1.26215,0.0006536,0.0006536,0.0006536
70,2065.3,0.77206,0.43605,1.10915,0.9775,0.98757,0.98446,0.6991,0.87933,0.39953,1.23907,0.0006338,0.0006338,0.0006338
71,2092.11,0.70822,0.40733,1.06557,0.9882,0.95176,0.97912,0.6864,0.8711,0.40462,1.27171,0.000614,0.000614,0.000614
72,2118.91,0.74369,0.41709,1.08546,0.96544,0.97727,0.98365,0.70523,0.8682,0.39922,1.25337,0.0005942,0.0005942,0.0005942
73,2149.97,0.68542,0.39322,1.05742,0.97752,0.98834,0.98724,0.71049,0.83721,0.38389,1.23981,0.0005744,0.0005744,0.0005744
