epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,119.552,0.78544,0.50389,1.13382,0.87461,0.93419,0.92318,0.75837,0.75918,0.54986,1.10358,0.00137554,0.00137554,0.00137554
43,122.201,0.77282,0.51534,1.12327,0.88446,0.97321,0.95771,0.79244,0.71677,0.51579,1.06887,0.00136031,0.00136031,0.00136031
44,124.844,0.74432,0.48483,1.10294,0.86422,0.9375,0.9137,0.72498,0.80388,0.58268,1.16131,0.00134508,0.00134508,0.00134508
45,127.467,0.75982,0.49896,1.11508,0.88359,0.99107,0.95495,0.79433,0.67499,0.50633,1.0595,0.00132985,0.00132985,0.00132985
46,130.113,0.75459,0.4732,1.10407,0.86429,0.99107,0.96038,0.78589,0.67771,0.54315,1.08463,0.00131462,0.00131462,0.00131462
47,132.771,0.73684,0.47419,1.08315,0.89267,1,0.95073,0.79394,0.67439,0.48971,1.06177,0.00129938,0.00129938,0.00129938
48,135.412,0.75583,0.49199,1.11433,0.89358,0.97321,0.93902,0.7927,0.64303,0.46025,1.04289,0.00128415,0.00128415,0.00128415
49,138.015,0.69633,0.44489,1.06642,0.90897,0.98076,0.94637,0.78556,0.68161,0.45941,1.05641,0.00126892,0.00126892,0.00126892
50,140.67,0.72723,0.47018,1.08738,0.88512,0.96308,0.94082,0.76024,0.67566,0.51079,1.08795,0.00125369,0.00125369,0.00125369
51,143.399,0.70942,0.46202,1.07848,0.87144,0.98214,0.94135,0.78032,0.65693,0.52206,1.02113,0.00123846,0.00123846,0.00123846
52,146.005,0.71979,0.46452,1.07843,0.87781,0.96212,0.96403,0.80965,0.67653,0.53257,1.04628,0.00122323,0.00122323,0.00122323
53,148.619,0.71029,0.46317,1.08529,0.90797,0.88088,0.93142,0.73899,0.80016,0.62366,1.1701,0.001208,0.001208,0.001208
54,151.281,0.71335,0.46172,1.08244,0.8086,0.9375,0.89824,0.67604,0.8352,0.74849,1.20385,0.00119277,0.00119277,0.00119277
55,153.939,0.70214,0.45064,1.07461,0.86473,0.99107,0.92172,0.75596,0.76061,0.62395,1.14461,0.00117754,0.00117754,0.00117754
56,156.589,0.69379,0.44419,1.07245,0.88172,0.99837,0.9586,0.7944,0.66601,0.4645,1.05842,0.00116231,0.00116231,0.00116231
57,159.188,0.69993,0.44554,1.07698,0.86475,0.97321,0.95285,0.78773,0.66166,0.48713,1.05335,0.00114708,0.00114708,0.00114708
58,161.804,0.686,0.43841,1.06702,0.90887,0.9795,0.94653,0.80878,0.64586,0.47283,1.00537,0.00113185,0.00113185,0.00113185
59,164.481,0.66194,0.42974,1.05203,0.89752,0.99107,0.96489,0.8236,0.62621,0.44767,1.01023,0.00111662,0.00111662,0.00111662
60,167.144,0.70053,0.44901,1.07081,0.90176,0.98354,0.96138,0.8067,0.67789,0.43844,1.02437,0.00110138,0.00110138,0.00110138
61,169.774,0.68597,0.43493,1.07698,0.86992,0.95535,0.94164,0.76993,0.67802,0.51951,1.07568,0.00108615,0.00108615,0.00108615
62,172.42,0.66416,0.4333,1.0535,0.93038,0.98214,0.97474,0.82831,0.66199,0.38462,1.05528,0.00107092,0.00107092,0.00107092
63,175.067,0.65679,0.41856,1.04946,0.91555,0.99107,0.96886,0.822,0.64384,0.41068,1.02347,0.00105569,0.00105569,0.00105569
64,177.743,0.64402,0.41581,1.0384,0.93043,0.98214,0.96576,0.81485,0.64875,0.3945,1.02122,0.00104046,0.00104046,0.00104046
65,180.399,0.66606,0.43652,1.05062,0.93887,0.98214,0.96256,0.81362,0.64834,0.37187,1.00273,0.00102523,0.00102523,0.00102523
66,183.019,0.67991,0.43819,1.05897,0.95375,0.99107,0.97802,0.83447,0.65497,0.34833,1.0316,0.00101,0.00101,0.00101
67,185.67,0.63106,0.41102,1.03532,0.94023,0.98316,0.97026,0.82965,0.61905,0.39012,1.00035,0.000994769,0.000994769,0.000994769
68,188.378,0.63246,0.402,1.04467,0.92428,0.9809,0.96373,0.83419,0.62004,0.37512,0.9962,0.000979538,0.000979538,0.000979538
69,191.055,0.66243,0.41131,1.06591,0.92653,0.96429,0.96226,0.79946,0.63709,0.40646,0.97989,0.000964308,0.000964308,0.000964308
70,193.678,0.65369,0.40745,1.04502,0.90236,0.99107,0.95206,0.80188,0.61812,0.44305,1.0159,0.000949077,0.000949077,0.000949077
